BAY;ROW;Racking Forces Absolute Max(<150 KN);Racking Pitch Forces Absolute Max(<100 KN);Internal lashing force Absolute Max;Twistlock shear forces Absolute Max(<210 KN);Pressure Absolute Max(<848 KN);Lifting Absolute Max(<250 KN)
7;0;71.76;38.97;348.58;185.9;704.41;180.8
5;0;68.51;38.74;222.94;185.19;673.67;97.25
2;0;71.54;39.19;222.78;185.25;636.38;116.41
94;1;56.91;28.26;106.45;96.65;435.76;123.18
86;1;69.74;36.45;208.26;181.88;600.28;164.33
82;1;84.92;51.55;284.29;237.99;752.01;146.42
78;1;89.55;47.26;266.89;233.26;747.12;218.62
70;1;57.27;39.17;140.45;132.9;539.29;119.91
62;1;64.96;62.98;206.78;176.3;737.47;79.54
54;1;72.12;59.58;201.51;180.63;738.9;96.22
46;1;72.71;64.32;210.61;186.11;780.79;100.4
42;1;75.65;55.09;192.42;179.26;706.61;104.21
38;1;71.62;62.71;203.24;181.05;748.25;85.52
34;1;73.78;49.38;256.81;205.57;649.04;117.92
31;1;50.42;30.24;132.45;134.47;557.28;230.07
29;1;86.53;38.27;152.03;186.73;692.9;186.62
22;1;87.59;59.0;291.39;264.49;741.29;91.09
18;1;32.08;20.6;109.51;71.9;239.81;66.55
14;1;89.19;53.33;313.02;257.74;836.87;206.63
7;1;62.59;37.75;333.0;171.63;657.86;143.27
5;1;61.46;34.06;192.52;159.55;587.73;74.52
2;1;61.7;34.02;199.09;173.9;576.71;119.24
94;3;64.81;35.04;139.89;148.72;662.52;282.14
86;3;75.53;38.29;213.96;197.73;614.09;158.2
82;3;92.95;54.81;302.55;255.86;800.85;159.75
78;3;95.17;46.86;255.92;241.34;743.65;217.98
70;3;59.4;39.95;143.81;136.83;554.18;126.51
62;3;64.12;66.19;215.44;180.12;756.9;77.29
54;3;71.68;58.94;191.28;180.93;713.01;103.94
46;3;72.98;66.9;217.6;190.14;798.31;102.03
42;3;62.4;50.6;176.13;157.24;621.33;65.15
38;3;65.9;60.15;193.31;169.99;708.52;76.26
34;3;76.27;51.91;272.91;221.45;689.51;132.87
31;3;74.73;42.44;172.32;177.03;735.97;259.44
29;3;58.19;32.6;122.68;154.71;531.75;96.03
22;3;94.48;56.24;305.68;269.07;768.01;154.05
15;3;53.2;28.99;129.42;136.06;606.47;251.83
13;3;58.45;25.94;98.94;124.05;544.98;166.71
7;3;81.54;35.38;324.35;187.74;687.04;209.2
5;3;60.01;24.15;145.62;121.87;474.55;126.08
2;3;56.89;24.77;147.11;140.77;470.16;149.31
94;5;60.69;32.47;127.35;132.29;600.76;248.7
86;5;74.76;37.66;217.81;192.04;617.02;160.16
82;5;63.59;34.51;165.19;98.89;372.83;137.67
78;5;94.42;48.43;274.26;242.1;780.88;238.16
70;5;48.5;35.45;125.58;116.12;468.31;88.76
62;5;64.72;63.62;207.09;176.23;740.36;75.88
54;5;61.74;53.85;181.51;159.47;625.66;46.02
50;5;42.36;38.37;129.22;89.77;377.1;145.92
46;5;68.97;65.72;213.42;183.89;773.07;92.5
42;5;89.02;54.63;222.76;208.97;823.83;173.75
38;5;64.76;51.06;172.35;157.56;641.23;73.04
34;5;77.68;52.28;272.85;218.36;686.15;126.37
30;5;97.69;60.99;330.53;275.67;893.45;250.99
22;5;112.14;60.84;285.66;296.85;839.25;175.38
15;5;36.77;20.65;86.3;86.53;408.09;125.43
13;5;51.22;24.7;99.26;121.62;453.11;92.37
6;5;91.48;36.04;188.39;213.06;627.77;165.45
2;5;54.52;24.76;145.32;137.37;465.23;139.73
86;7;70.65;34.93;200.45;178.58;585.75;164.09
82;7;107.66;58.68;329.93;285.31;880.34;193.23
78;7;95.92;47.09;270.18;241.4;769.2;241.45
70;7;54.83;54.11;169.6;146.15;635.86;78.42
62;7;65.67;66.6;216.72;182.36;768.89;81.85
54;7;92.45;58.07;232.08;217.41;878.6;219.02
50;7;51.07;44.77;150.13;131.91;529.75;48.08
46;7;79.87;68.46;240.77;209.51;861.32;123.18
42;7;144.45;61.54;365.7;341.37;1048.81;271.99
38;7;67.33;60.91;195.25;172.46;723.56;85.51
34;7;98.53;55.33;320.54;271.12;886.69;277.57
30;7;85.27;60.82;326.43;259.89;845.36;206.08
27;7;13.41;2.87;0.0;0.0;35.48;6.97
22;7;91.68;51.95;283.93;244.56;801.68;212.82
15;7;59.06;35.87;153.25;154.76;664.52;215.47
13;7;80.26;31.01;134.77;165.07;717.74;250.61
7;7;53.13;23.61;213.02;122.88;460.08;133.27
5;7;64.45;28.94;167.79;139.74;578.59;142.41
2;7;54.72;25.05;146.93;138.48;467.17;138.46
94;7;64.24;34.42;135.32;140.06;634.33;260.0
90;9;103.91;51.42;290.45;260.31;865.25;195.88
86;9;87.83;42.71;245.17;219.84;711.25;198.46
82;9;77.19;54.38;293.7;234.71;757.21;111.35
78;9;81.01;44.57;244.22;212.51;692.58;178.13
70;9;59.82;50.34;166.85;149.66;630.23;83.51
66;9;41.39;40.15;134.49;113.81;443.12;66.15
62;9;73.59;72.95;244.6;205.29;834.2;65.46
58;9;102.28;47.17;226.12;224.03;901.96;318.02
54;9;68.27;70.42;227.99;191.03;769.7;105.25
50;9;51.53;58.57;185.68;151.51;638.63;98.18
47;9;32.12;31.63;80.23;83.48;432.35;63.21
