Avg Speed STW,Mean Draft (m),Conso ME HSFO,INTRO_MULTIQUADRATIC,INTRP_QUINTIC,INTRP_THIN_PLATE,9454450_PROD_Conso,9454450_PREPROD_Conso,9454448_PROD_Conso,9454436_PROD_Conso,9454436_PREPROD_Conso,9454448_PREPROD_Conso
15.8,12.1,81.7,85.45,85.1,85.47,89.17,89.17,82.48,81.66,81.66,82.48
16.3,10.61,81.7,87.53,85.31,87.39,93.23,93.23,86.23,85.37,85.37,86.23
18.7,14.03,82,131.23,131.32,131.23,148,148,136.89,135.53,135.53,136.89
16.2,14.81,82.1,105.97,109.9,106.14,101.65,101.65,94.02,93.09,93.09,94.02
14.7,11.31,82.2,81.55,83.57,81.51,71.69,71.69,66.31,65.65,65.65,66.31
17,10.85,82.2,95.09,95.39,95.11,105.31,105.31,97.41,96.44,96.44,97.41
15.1,9.37,82.7,80.14,79.36,81.68,72.78,72.78,67.32,66.65,66.65,67.32
15.6,13.94,82.7,90.29,90.92,90.7,89.98,89.98,83.23,82.4,82.4,83.23
16.3,11.7,82.7,88.19,87.16,88.16,96.1,96.1,88.88,88,88,88.88
17.5,10.86,83.1,103.48,104.55,103.31,114.03,114.03,105.48,104.43,104.43,105.48
13.1,12.02,83.2,53.14,52.27,53.21,53.31,53.31,49.31,48.82,48.82,49.31
17.4,10.84,83.2,101.9,103.11,101.81,112.2,112.2,103.78,102.75,102.75,103.78
15,12.11,83.7,82.61,83.21,82.57,77.38,77.38,71.57,70.86,70.86,71.57
15.8,12.27,83.7,86.1,85.4,86.22,89.56,89.56,82.84,82.01,82.01,82.84
16,10.61,83.7,84.91,82.07,84.73,88.61,88.61,81.96,81.15,81.15,81.96
18.3,14.43,83.7,125.11,124.86,125.24,140.72,140.72,130.16,128.87,128.87,130.16
17.2,10.89,84,98.27,99.12,98.28,108.86,108.86,100.69,99.69,99.69,100.69
14.4,11.77,84.3,76.72,77.57,76.74,68.6,68.6,63.45,62.82,62.82,63.45
13.9,12.83,84.4,66.79,67.87,67.2,63.97,63.97,59.17,58.58,58.58,59.17
17,14.47,84.5,113.49,114.82,113.47,115.14,115.14,106.5,105.44,105.44,106.5
17.1,11.25,84.8,97.07,97.05,97.07,108.22,108.22,100.1,99.11,99.11,100.1
19.1,15.05,85.1,144.64,144.92,144.4,160.26,160.26,148.24,146.76,146.76,148.24
15.2,11.62,85.4,85.43,85.85,85.28,79.21,79.21,73.27,72.54,72.54,73.27
14.7,11.77,85.6,82.37,83.18,82.16,72.58,72.58,67.13,66.47,66.47,67.13
14.2,10.2,85.8,74.36,76.31,74.94,63.16,63.16,58.42,57.84,57.84,58.42
15.9,12.1,85.8,86.42,85.88,86.42,90.72,90.72,83.92,83.08,83.08,83.92
16.1,10.02,85.8,87.27,87.15,87.56,88.55,88.55,81.91,81.09,81.09,81.91
14.8,11.31,86.2,82.48,84.38,82.41,73.03,73.03,67.55,66.88,66.88,67.55
15.3,11.64,86.6,85.09,85.41,84.99,80.69,80.69,74.64,73.89,73.89,74.64
19.5,14.61,86.7,149.94,150.08,149.87,168.06,168.06,155.45,153.9,153.9,155.45
14.9,14.2,86.8,83.5,85.15,83.63,79.82,79.82,73.83,73.1,73.1,73.83
15.5,9.59,86.8,82.2,81.22,83.23,78.74,78.74,72.83,72.11,72.11,72.83
18.4,14.03,86.8,125.96,125.74,125.83,141.6,141.6,130.97,129.67,129.67,130.97
14,11.77,87.6,67.8,67.74,68.02,63.51,63.51,58.75,58.16,58.16,58.75
14.3,11.64,87.6,75.2,76.12,75.22,67.07,67.07,62.04,61.42,61.42,62.04
15.9,11.67,87.6,83.78,83.3,83.9,89.71,89.71,82.98,82.16,82.16,82.98
16,11.66,87.7,84.3,83.63,84.42,91.24,91.24,84.39,83.55,83.55,84.39
19.5,10.68,87.8,125.18,121.49,124.81,152.51,152.51,141.07,139.66,139.66,141.07
15.7,12.87,87.9,86.83,84.78,87.03,89.33,89.33,82.63,81.8,81.8,82.63
19.9,13.79,88.2,150.75,151.42,150.73,174.5,174.5,161.41,159.8,159.8,161.41
13.2,12.43,88.6,56.33,56.37,56.38,55,55,50.87,50.36,50.36,50.87
