X;Draft;Area
189.20;8.0;415.88
189.20;8.5;442.70
189.20;9.0;469.52
189.20;9.5;496.34
189.20;10.0;523.17
189.20;10.5;549.99
189.20;11.0;576.81
189.20;11.5;603.64
189.20;12.0;630.46
189.20;12.5;657.28
189.20;13.0;684.10
189.20;13.5;710.93
189.20;14.0;737.75
189.20;14.5;764.57
189.20;15.0;791.40
189.20;15.5;818.22
189.20;16.0;845.04
189.20;16.5;871.87
189.20;17.0;898.69
189.20;17.5;925.51
189.20;18.0;952.33
189.20;18.5;979.16
189.20;19.0;1005.98
189.20;19.5;1032.80
189.20;20.0;1059.63
189.20;20.5;1086.45
189.20;21.0;1113.27
189.20;21.5;1140.10
189.20;22.0;1166.92
189.20;22.5;1193.74
189.20;23.0;1220.56
189.20;23.5;1247.39
208.12;0.0;0.98
208.12;0.25;12.12
208.12;0.5;23.70
208.12;0.75;35.56
208.12;1.0;47.64
208.12;1.5;72.32
208.12;2.0;97.56
208.12;2.5;123.22
208.12;3.0;149.23
208.12;3.5;175.51
208.12;4.0;202.01
208.12;4.5;228.66
208.12;5.0;255.41
208.12;5.5;282.21
208.12;6.0;309.03
208.12;6.5;335.86
208.12;7.0;362.68
208.12;7.5;389.50
208.12;8.0;416.33
208.12;8.5;443.15
208.12;9.0;469.97
208.12;9.5;496.80
208.12;10.0;523.62
208.12;10.5;550.44
208.12;11.0;577.26
208.12;11.5;604.09
208.12;12.0;630.91
208.12;12.5;657.73
208.12;13.0;684.56
208.12;13.5;711.38
208.12;14.0;738.20
208.12;14.5;765.03
208.12;15.0;791.85
208.12;15.5;818.67
208.12;16.0;845.49
208.12;16.5;872.32
208.12;17.0;899.14
208.12;17.5;925.96
208.12;18.0;952.79
208.12;18.5;979.61
208.12;19.0;1006.43
208.12;19.5;1033.26
208.12;20.0;1060.08
208.12;20.5;1086.90
208.12;21.0;1113.72
208.12;21.5;1140.55
208.12;22.0;1167.37
208.12;22.5;1194.19
208.12;23.0;1221.02
208.12;23.5;1247.84
227.04;0.0;0.88
227.04;0.25;11.01
227.04;0.5;21.67
227.04;0.75;32.68
227.04;1.0;43.99
227.04;1.5;67.29
227.04;2.0;91.35
227.04;2.5;116.04
227.04;3.0;141.24
227.04;3.5;166.87
227.04;4.0;192.85
227.04;4.5;219.10
227.04;5.0;245.57
227.04;5.5;272.19
227.04;6.0;298.93
227.04;6.5;325.73
227.04;7.0;352.55
227.04;7.5;379.37
227.04;8.0;406.19
227.04;8.5;433.02
227.04;9.0;459.84
227.04;9.5;486.66
227.04;10.0;513.49
227.04;10.5;540.31
227.04;11.0;567.13
227.04;11.5;593.96
227.04;12.0;620.78
227.04;12.5;647.60
227.04;13.0;674.42
227.04;13.5;701.25
227.04;14.0;728.07
227.04;14.5;754.89
227.04;15.0;781.72
227.04;15.5;808.54
227.04;16.0;835.36
227.04;16.5;862.19
227.04;17.0;889.01
227.04;17.5;915.83
227.04;18.0;942.65
227.04;18.5;969.48
227.04;19.0;996.30
227.04;19.5;1023.12
227.04;20.0;1049.95
227.04;20.5;1076.77
227.04;21.0;1103.59
227.04;21.5;1130.42
227.04;22.0;1157.24
227.04;22.5;1184.06
227.04;23.0;1210.88
227.04;23.5;1237.71
245.96;0.0;0.69
245.96;0.25;9.04
245.96;0.5;18.11
245.96;0.75;27.65
245.96;1.0;37.57
245.96;1.5;58.35
245.96;2.0;80.17
245.96;2.5;102.83
245.96;3.0;126.22
245.96;3.5;150.24
245.96;4.0;174.79
245.96;4.5;199.80
245.96;5.0;225.20
245.96;5.5;250.94
245.96;6.0;276.97
245.96;6.5;303.23
245.96;7.0;329.67
245.96;7.5;356.27
245.96;8.0;382.97
245.96;8.5;409.74
245.96;9.0;436.56
245.96;9.5;463.38
245.96;10.0;490.20
245.96;10.5;517.02
245.96;11.0;543.85
245.96;11.5;570.67
245.96;12.0;597.49
245.96;12.5;624.32
245.96;13.0;651.14
245.96;13.5;677.96
245.96;14.0;704.78
245.96;14.5;731.61
245.96;15.0;758.43
